,0
77,https://www.xcontest.org/canada/en/flights/detail:vickshorses/13.06.2020/22:21
78,https://www.xcontest.org/canada/en/flights/detail:Charognard/13.06.2020/16:04
79,https://www.xcontest.org/canada/en/flights/detail:Charognard/9.06.2020/23:30
80,https://www.xcontest.org/canada/en/flights/detail:Agordon/10.06.2020/01:26
81,https://www.xcontest.org/canada/en/flights/detail:Agordon/10.06.2020/00:55
82,https://www.xcontest.org/canada/en/flights/detail:Agordon/10.06.2020/00:34
83,https://www.xcontest.org/canada/en/flights/detail:longy/11.06.2020/23:08
84,https://www.xcontest.org/canada/en/flights/detail:Serge.C/12.06.2020/01:29
85,https://www.xcontest.org/canada/en/flights/detail:janssen/11.06.2020/21:09
86,https://www.xcontest.org/canada/en/flights/detail:YoungJedi/11.06.2020/00:11
87,https://www.xcontest.org/canada/en/flights/detail:CrazyRick/11.06.2020/01:09
88,https://www.xcontest.org/canada/en/flights/detail:CrazyRick/10.06.2020/21:29
89,https://www.xcontest.org/canada/en/flights/detail:FunWithNylon/10.06.2020/21:44
90,https://www.xcontest.org/canada/en/flights/detail:Skyfoxx/10.06.2020/21:48
91,https://www.xcontest.org/canada/en/flights/detail:Skyfoxx/11.06.2020/00:41
92,https://www.xcontest.org/canada/en/flights/detail:hero21b/13.05.2020/17:18
93,https://www.xcontest.org/canada/en/flights/detail:JCCPPDP/9.06.2020/20:10
94,https://www.xcontest.org/canada/en/flights/detail:franky/9.06.2020/18:23
95,https://www.xcontest.org/canada/en/flights/detail:magen/8.06.2020/22:10
96,https://www.xcontest.org/canada/en/flights/detail:magen/8.06.2020/14:26
97,https://www.xcontest.org/canada/en/flights/detail:bastiendufour/9.06.2020/19:01
98,https://www.xcontest.org/canada/en/flights/detail:markdowsett/7.06.2020/18:48
99,https://www.xcontest.org/canada/en/flights/detail:papy/8.06.2020/15:27
